,Team,Position
0,Leicester City FC,1
1,Arsenal FC,2
2,Tottenham Hotspur FC,3
3,Manchester City FC,4
4,Manchester United FC,5
5,Southampton FC,6
6,West Ham United FC,7
7,Liverpool FC,8
8,Stoke City FC,9
9,Chelsea FC,10
10,Everton FC,11
11,Swansea City FC,12
12,Watford FC,13
13,West Bromwich Albion FC,14
14,Crystal Palace FC,15
15,AFC Bournemouth,16
16,Sunderland AFC,17
17,Middlesbrough FC,18
18,Hull City FC,18
19,Burnley FC,18
