2017-11-18,Liverpool FC,Southampton FC
2017-11-18,West Bromwich Albion FC,Chelsea FC
2017-11-18,Manchester United FC,Newcastle United FC
2017-11-19,Watford FC,West Ham United FC
2017-11-20,Brighton & Hove Albion,Stoke City FC
2017-11-24,West Ham United FC,Leicester City FC
2017-11-25,Crystal Palace FC,Stoke City FC
2017-11-25,Manchester United FC,Brighton & Hove Albion
2017-11-25,Newcastle United FC,Watford FC
2017-11-25,Swansea City FC,AFC Bournemouth
2017-11-25,Tottenham Hotspur FC,West Bromwich Albion FC
2017-11-25,Liverpool FC,Chelsea FC
2017-11-26,Southampton FC,Everton FC
2017-11-26,Burnley FC,Arsenal FC
2017-11-26,Huddersfield Town,Manchester City FC
2017-11-28,Leicester City FC,Tottenham Hotspur FC
2017-11-28,Brighton & Hove Albion,Crystal Palace FC
2017-11-28,Watford FC,Manchester United FC
2017-11-28,West Bromwich Albion FC,Newcastle United FC
2017-11-29,Chelsea FC,Swansea City FC
2017-11-29,AFC Bournemouth,Burnley FC
2017-11-29,Arsenal FC,Huddersfield Town
2017-11-29,Everton FC,West Ham United FC
2017-11-29,Stoke City FC,Liverpool FC
2017-11-29,Manchester City FC,Southampton FC
2017-12-02,Chelsea FC,Newcastle United FC
2017-12-02,Watford FC,Tottenham Hotspur FC
2017-12-02,Stoke City FC,Swansea City FC
2017-12-02,Leicester City FC,Burnley FC
2017-12-02,Everton FC,Huddersfield Town
2017-12-02,West Bromwich Albion FC,Crystal Palace FC
2017-12-02,Brighton & Hove Albion,Liverpool FC
2017-12-02,Arsenal FC,Manchester United FC
2017-12-03,AFC Bournemouth,Southampton FC
2017-12-03,Manchester City FC,West Ham United FC
2017-12-09,West Ham United FC,Chelsea FC
2017-12-09,Tottenham Hotspur FC,Stoke City FC
2017-12-09,Swansea City FC,West Bromwich Albion FC
2017-12-09,Crystal Palace FC,AFC Bournemouth
2017-12-09,Burnley FC,Watford FC
2017-12-09,Huddersfield Town,Brighton & Hove Albion
2017-12-09,Newcastle United FC,Leicester City FC
2017-12-10,Southampton FC,Arsenal FC
2017-12-10,Liverpool FC,Everton FC
2017-12-10,Manchester United FC,Manchester City FC
2017-12-12,Burnley FC,Stoke City FC
2017-12-12,Huddersfield Town,Chelsea FC
2017-12-12,Crystal Palace FC,Watford FC
2017-12-13,Swansea City FC,Manchester City FC
2017-12-13,Southampton FC,Leicester City FC
2017-12-13,Newcastle United FC,Everton FC
2017-12-13,Liverpool FC,West Bromwich Albion FC
2017-12-13,Tottenham Hotspur FC,Brighton & Hove Albion
2017-12-13,Manchester United FC,AFC Bournemouth
2017-12-13,West Ham United FC,Arsenal FC
2017-12-16,Leicester City FC,Crystal Palace FC
2017-12-16,Watford FC,Huddersfield Town
2017-12-16,Arsenal FC,Newcastle United FC
2017-12-16,Brighton & Hove Albion,Burnley FC
2017-12-16,Chelsea FC,Southampton FC
2017-12-16,Stoke City FC,West Ham United FC
2017-12-16,Manchester City FC,Tottenham Hotspur FC
2017-12-17,West Bromwich Albion FC,Manchester United FC
2017-12-17,AFC Bournemouth,Liverpool FC
2017-12-18,Everton FC,Swansea City FC
2017-12-22,Arsenal FC,Liverpool FC
2017-12-23,Everton FC,Chelsea FC
2017-12-23,Manchester City FC,AFC Bournemouth
2017-12-23,West Ham United FC,Newcastle United FC
2017-12-23,Swansea City FC,Crystal Palace FC
2017-12-23,Stoke City FC,West Bromwich Albion FC
2017-12-23,Southampton FC,Huddersfield Town
2017-12-23,Brighton & Hove Albion,Watford FC
2017-12-23,Burnley FC,Tottenham Hotspur FC
2017-12-23,Leicester City FC,Manchester United FC
2017-12-26,Tottenham Hotspur FC,Southampton FC
2017-12-26,Chelsea FC,Brighton & Hove Albion
2017-12-26,Watford FC,Leicester City FC
2017-12-26,AFC Bournemouth,West Ham United FC
2017-12-26,Huddersfield Town,Stoke City FC
2017-12-26,Manchester United FC,Burnley FC
2017-12-26,West Bromwich Albion FC,Everton FC
2017-12-26,Liverpool FC,Swansea City FC
2017-12-27,Newcastle United FC,Manchester City FC
2017-12-28,Crystal Palace FC,Arsenal FC
2017-12-30,Huddersfield Town,Burnley FC
2017-12-30,Liverpool FC,Leicester City FC
2017-12-30,Newcastle United FC,Brighton & Hove Albion
2017-12-30,AFC Bournemouth,Everton FC
2017-12-30,Watford FC,Swansea City FC
2017-12-30,Chelsea FC,Stoke City FC
2017-12-30,Manchester United FC,Southampton FC
2017-12-31,Crystal Palace FC,Manchester City FC
2017-12-31,Tottenham Hotspur FC,West Ham United FC
2017-12-31,West Bromwich Albion FC,Arsenal FC
2018-01-01,Brighton & Hove Albion,AFC Bournemouth
2018-01-01,Burnley FC,Liverpool FC
2018-01-01,Stoke City FC,Newcastle United FC
2018-01-01,Leicester City FC,Huddersfield Town
2018-01-01,Everton FC,Manchester United FC
2018-01-02,Southampton FC,Crystal Palace FC
2018-01-02,Swansea City FC,Tottenham Hotspur FC
2018-01-02,West Ham United FC,West Bromwich Albion FC
2018-01-02,Manchester City FC,Watford FC
2018-01-03,Arsenal FC,Chelsea FC
2018-01-13,Chelsea FC,Leicester City FC
2018-01-13,Crystal Palace FC,Burnley FC
2018-01-13,Huddersfield Town,West Ham United FC
2018-01-13,Newcastle United FC,Swansea City FC
2018-01-13,Watford FC,Southampton FC
2018-01-13,West Bromwich Albion FC,Brighton & Hove Albion
2018-01-13,Tottenham Hotspur FC,Everton FC
2018-01-14,AFC Bournemouth,Arsenal FC
2018-01-14,Liverpool FC,Manchester City FC
2018-01-15,Manchester United FC,Stoke City FC
2018-01-20,Brighton & Hove Albion,Chelsea FC
2018-01-20,Burnley FC,Manchester United FC
2018-01-20,Leicester City FC,Watford FC
2018-01-20,Stoke City FC,Huddersfield Town
2018-01-20,Arsenal FC,Crystal Palace FC
2018-01-20,West Ham United FC,AFC Bournemouth
2018-01-20,Everton FC,West Bromwich Albion FC
2018-01-20,Manchester City FC,Newcastle United FC
2018-01-21,Southampton FC,Tottenham Hotspur FC
2018-01-22,Swansea City FC,Liverpool FC
2018-01-30,West Ham United FC,Crystal Palace FC
2018-01-30,Swansea City FC,Arsenal FC
2018-01-30,Huddersfield Town,Liverpool FC
2018-01-31,Chelsea FC,AFC Bournemouth
2018-01-31,Everton FC,Leicester City FC
2018-01-31,Newcastle United FC,Burnley FC
2018-01-31,Southampton FC,Brighton & Hove Albion
2018-01-31,Tottenham Hotspur FC,Manchester United FC
2018-01-31,Stoke City FC,Watford FC
2018-01-31,Manchester City FC,West Bromwich Albion FC
2018-02-03,Burnley FC,Manchester City FC
2018-02-03,Brighton & Hove Albion,West Ham United FC
2018-02-03,Arsenal FC,Everton FC
2018-02-03,AFC Bournemouth,Stoke City FC
2018-02-03,Crystal Palace FC,Newcastle United FC
2018-02-03,Leicester City FC,Swansea City FC
2018-02-03,Liverpool FC,Tottenham Hotspur FC
2018-02-03,Manchester United FC,Huddersfield Town
2018-02-03,Watford FC,Chelsea FC
2018-02-03,West Bromwich Albion FC,Southampton FC
2018-02-10,Manchester City FC,Leicester City FC
2018-02-10,Huddersfield Town,AFC Bournemouth
2018-02-10,Everton FC,Crystal Palace FC
2018-02-10,Chelsea FC,West Bromwich Albion FC
2018-02-10,Newcastle United FC,Manchester United FC
