,Team,Position
0,Manchester City FC,1.0
1,Arsenal FC,2.0
2,Tottenham Hotspur FC,3.0
3,Liverpool FC,4.0
4,Chelsea FC,5.0
5,Everton FC,6.0
6,Manchester United FC,7.0
7,Southampton FC,8.0
8,Crystal Palace FC,9.0
9,Watford FC,10.0
10,AFC Bournemouth,11.0
11,West Bromwich Albion FC,12.0
12,Leicester City FC,13.0
13,Burnley FC,14.0
14,West Ham United FC,15.0
15,Hull City FC,16.0
16,Middlesbrough FC,17.0
17,Stoke City FC,18.0
18,Swansea City FC,19.0
19,Sunderland AFC,20.0
